#CLLF -> Classic LISA Low Frequency
#Classic LISA curve with the low-frequency shape of Proposed LISA (PL)
#shifted to lower frequencies and splined together with Classic LISA. 
#CL is from Larson et al 2000. 
f	ASD
2.517593000000000261e-03	1.614947000000004112e-20
2.576252999999999269e-03	1.573246999999993724e-20
2.636278999999999619e-03	1.534293999999996002e-20
2.697703999999999987e-03	1.497954999999998754e-20
2.760560999999998617e-03	1.464101000000001569e-20
2.824881999999999914e-03	1.432605999999999707e-20
2.890700999999999861e-03	1.403346999999996136e-20
2.958055000000000666e-03	1.376208000000001276e-20
3.026978000000000047e-03	1.351073000000005234e-20
3.097505999999999437e-03	1.327831999999998937e-20
3.169677999999999558e-03	1.306376999999999215e-20
3.243531999999999058e-03	1.286607000000000710e-20
3.319105999999998752e-03	1.268421999999998374e-20
3.396440999999999610e-03	1.251726999999998051e-20
3.475578000000000434e-03	1.236431999999999772e-20
3.556559000000001670e-03	1.222451000000004970e-20
3.639427000000001935e-03	1.209701000000001718e-20
3.724226000000001920e-03	1.198105000000001782e-20
3.811000000000001886e-03	1.187588000000000698e-20
3.899796000000000078e-03	1.178082999999999514e-20
3.990661000000002116e-03	1.169521999999997757e-20
4.083644000000001724e-03	1.161846000000000777e-20
4.178792999999999223e-03	1.154996000000002187e-20
4.276158999999999863e-03	1.148921000000000203e-20
4.375793000000000217e-03	1.143569000000001460e-20
4.477748999999998751e-03	1.138896999999998395e-20
4.582079999999997925e-03	1.134859999999997421e-20
4.688842999999999830e-03	1.131421999999997828e-20
4.798092999999998935e-03	1.128546000000002205e-20
4.909888999999998012e-03	1.126200000000001162e-20
5.024288999999997757e-03	1.124353999999999322e-20
5.141354999999998496e-03	1.122984000000002884e-20
5.261148999999999687e-03	1.122064000000001772e-20
5.383732999999999921e-03	1.121573999999999221e-20
5.509175000000000703e-03	1.121496000000000443e-20
5.637537999999999230e-03	1.121812999999997871e-20
5.768893000000001499e-03	1.122511999999996474e-20
5.903307999999997738e-03	1.123581000000001534e-20
6.040855000000002958e-03	1.125011000000003016e-20
6.181607000000001288e-03	1.126794000000002185e-20
6.325639000000000955e-03	1.128925000000000337e-20
6.473025000000000306e-03	1.131399999999997579e-20
6.623848000000000756e-03	1.134217999999997509e-20
6.778182000000002386e-03	1.137378000000003125e-20
6.936115000000001377e-03	1.140883000000000771e-20
7.097726000000000382e-03	1.144735000000001902e-20
7.263102999999999053e-03	1.148940999999996067e-20
7.432333000000002771e-03	1.153506999999999734e-20
7.605507000000001801e-03	1.158442999999996315e-20
